config,media,mediana,max,min
25_pc0.6_pm0.01_torneio_pop20_gen50_elitTrue_drop,0.7346348631431848,0.785751308758325,0.9362453270055396,0.1274096563488398
26_pc0.6_pm0.01_torneio_pop20_gen50_elitFalse_cross,2.0617077092060163,2.0614384829397245,2.062611440508849,2.060429500175043
27_pc0.6_pm0.01_torneio_pop20_gen50_elitFalse_drop,0.8510356235677737,0.9129448581559311,0.9999780552037753,0.47776408920172375
28_pc0.6_pm0.01_torneio_pop20_gen100_elitTrue_cross,2.0614812570582983,2.061438375575395,2.0626114264948616,2.060429500175043
29_pc0.6_pm0.01_torneio_pop20_gen100_elitTrue_drop,0.847172763931178,0.9362450498741293,0.9999983119272745,0.47778442390584613
30_pc0.6_pm0.01_torneio_pop20_gen100_elitFalse_cross,2.062034110383861,2.0622360407269418,2.062611457623527,2.060429500175043
31_pc0.6_pm0.01_torneio_pop20_gen100_elitFalse_drop,0.8389302068699823,0.9357204488373279,0.9999983119272745,0.47776369158502263
32_pc0.6_pm0.01_torneio_pop50_gen50_elitTrue_cross,2.0620377360189877,2.0623976988439936,2.0626118702521774,2.060429500175043
33_pc0.6_pm0.01_torneio_pop50_gen50_elitTrue_drop,0.8773774086246495,0.9362452126021916,0.936245327646946,0.6194993551250384
34_pc0.6_pm0.01_torneio_pop50_gen50_elitFalse_cross,2.0620074720640313,2.0623976988439936,2.0626118702521774,2.060429500175043
35_pc0.6_pm0.01_torneio_pop50_gen50_elitFalse_drop,0.9199037825214927,0.9362452826152594,0.9999983119272745,0.6194994365358373
36_pc0.6_pm0.01_torneio_pop50_gen100_elitTrue_cross,2.0620015364948725,2.0625352488576807,2.0626118702521774,2.060429500175043
37_pc0.6_pm0.01_torneio_pop50_gen100_elitTrue_drop,0.8776780212095657,0.9362451927235902,0.9999983119272745,0.6194993933273665
38_pc0.6_pm0.01_torneio_pop50_gen100_elitFalse_cross,2.06223250588391,2.0626111027123613,2.0626118702521774,2.060429500175043
39_pc0.6_pm0.01_torneio_pop50_gen100_elitFalse_drop,0.9154105353415135,0.9362451707580937,0.9999983119272745,0.7857511897795766
40_pc0.6_pm0.01_torneio_pop100_gen50_elitTrue_cross,2.0623646268672817,2.062611457623527,2.0626118702521774,2.060429500175043
41_pc0.6_pm0.01_torneio_pop100_gen50_elitTrue_drop,0.9418543155775437,0.9362453181645225,0.9999983119272745,0.7857512645280726
42_pc0.6_pm0.01_torneio_pop100_gen50_elitFalse_cross,2.062398846074136,2.062611457623527,2.0626118702521774,2.0614382484824403
43_pc0.6_pm0.01_torneio_pop100_gen50_elitFalse_drop,0.9367431157905581,0.9362453178460308,0.9999983119272745,0.785751295791069
44_pc0.6_pm0.01_torneio_pop100_gen100_elitTrue_cross,2.062567154388065,2.062611457623527,2.0626118702521774,2.0614384913425607
45_pc0.6_pm0.01_torneio_pop100_gen100_elitTrue_drop,0.9447456960633367,0.9362453233523657,0.9999983119272745,0.936245073418456
46_pc0.6_pm0.01_torneio_pop100_gen100_elitFalse_cross,2.0625156336570156,2.062611457623527,2.0626118702521774,2.0614384913425607
47_pc0.6_pm0.01_torneio_pop100_gen100_elitFalse_drop,0.9347127624393958,0.9362453216854401,0.9999983119272745,0.785751240264024
48_pc0.6_pm0.05_roleta_pop20_gen50_elitTrue_cross,2.062158134828234,2.062479340327651,2.062611340938052,2.0604227389335428
49_pc0.6_pm0.05_roleta_pop20_gen50_elitTrue_drop,0.9366213040862145,0.9362452592885819,0.9999915596555015,0.7857510422399969
50_pc0.6_pm0.05_roleta_pop20_gen50_elitFalse_cross,2.034862902493526,2.0488577103784773,2.0620652589514306,1.961346233338595
51_pc0.6_pm0.05_roleta_pop20_gen50_elitFalse_drop,0.8923224006108641,0.932476684694759,0.9362433100684608,0.5951740699936786
52_pc0.6_pm0.05_roleta_pop20_gen100_elitTrue_cross,2.0622947902492514,2.0626091398182664,2.0626118702521774,2.0603680181609207
53_pc0.6_pm0.05_roleta_pop20_gen100_elitTrue_drop,0.9465565735237358,0.936245314930838,0.9999983119272745,0.7857481927992083
54_pc0.6_pm0.05_roleta_pop20_gen100_elitFalse_cross,2.0423102772197756,2.0527081976661887,2.062408511564906,1.920121608363646
55_pc0.6_pm0.05_roleta_pop20_gen100_elitFalse_drop,0.9023685340940885,0.9335893516560114,0.9362450426410615,0.7850145916710143
56_pc0.6_pm0.05_roleta_pop50_gen50_elitTrue_cross,2.0625874998583926,2.062606529335614,2.0626118559651045,2.062495918226141
57_pc0.6_pm0.05_roleta_pop50_gen50_elitTrue_drop,0.9520967042537634,0.936245218209599,0.9999915596555015,0.9362361534641735
58_pc0.6_pm0.05_roleta_pop50_gen50_elitFalse_cross,2.052004940173886,2.0541170352791323,2.0622221650550454,2.0183036072340514
59_pc0.6_pm0.05_roleta_pop50_gen50_elitFalse_drop,0.9322735747366339,0.9357754875371319,0.9362451270303177,0.8806188107654925
60_pc0.6_pm0.05_roleta_pop50_gen100_elitTrue_cross,2.062602795315844,2.0626110320439963,2.0626118559651045,2.062497052026762
61_pc0.6_pm0.05_roleta_pop50_gen100_elitTrue_drop,0.9806505221753888,0.9999105349192422,0.9999983119272745,0.9362450755170615
62_pc0.6_pm0.05_roleta_pop50_gen100_elitFalse_cross,2.0521419121959306,2.057227552240566,2.062304870867826,1.9896191483299475
63_pc0.6_pm0.05_roleta_pop50_gen100_elitFalse_drop,0.9337239725979498,0.9354105551951852,0.936243876374174,0.914819065260664
64_pc0.6_pm0.05_roleta_pop100_gen50_elitTrue_cross,2.0625492256582163,2.062604372216069,2.0626117212720048,2.0614084551249676
65_pc0.6_pm0.05_roleta_pop100_gen50_elitTrue_drop,0.9724965398677744,0.9965890938086879,0.999984807414335,0.9362449891113119
66_pc0.6_pm0.05_roleta_pop100_gen50_elitFalse_cross,2.055322692926292,2.0589154196597903,2.0625028567213244,2.04343538196452
67_pc0.6_pm0.05_roleta_pop100_gen50_elitFalse_drop,0.9363464794080014,0.9361477709416153,0.9581743190358275,0.9317992725050963
68_pc0.6_pm0.05_roleta_pop100_gen100_elitTrue_cross,2.062610340728882,2.062611311017266,2.0626118702521774,2.062594319872784
69_pc0.6_pm0.05_roleta_pop100_gen100_elitTrue_drop,0.9850013646546115,0.9999307905868317,0.9999983119272745,0.9362451242180964
70_pc0.6_pm0.05_roleta_pop100_gen100_elitFalse_cross,2.056839563589761,2.058124182787134,2.062420383252177,2.041095537369962
71_pc0.6_pm0.05_roleta_pop100_gen100_elitFalse_drop,0.9384526691611235,0.9359542728764323,0.9818050531397534,0.9310410656903852
72_pc0.6_pm0.05_torneio_pop20_gen50_elitTrue_cross,2.06191573714875,2.062003313842288,2.062611862753255,2.0603747653926217
73_pc0.6_pm0.05_torneio_pop20_gen50_elitTrue_drop,0.9302746955621194,0.9362452693213434,0.9999983119272745,0.7857512784040755
74_pc0.6_pm0.05_torneio_pop20_gen50_elitFalse_cross,2.061624872822866,2.062342598187196,2.0626108913426324,2.059242420471018
75_pc0.6_pm0.05_torneio_pop20_gen50_elitFalse_drop,0.9236397856118758,0.9347900217421914,0.9362437349865709,0.7856233220670997
76_pc0.6_pm0.05_torneio_pop20_gen100_elitTrue_cross,2.061867445920181,2.062184615818895,2.0626118702521774,2.060429500175043
77_pc0.6_pm0.05_torneio_pop20_gen100_elitTrue_drop,0.941854079872964,0.9362453163885728,0.9999983119272745,0.7857513301750225
78_pc0.6_pm0.05_torneio_pop20_gen100_elitFalse_cross,2.061666585170313,2.062457515586045,2.062603065048198,2.0577562181087234
79_pc0.6_pm0.05_torneio_pop20_gen100_elitFalse_drop,0.9111181147245662,0.9358873372885816,0.9758744673414214,0.7802394504123414
80_pc0.6_pm0.05_torneio_pop50_gen50_elitTrue_cross,2.0623359163465986,2.062611457623527,2.0626118702521774,2.061433568219355
81_pc0.6_pm0.05_torneio_pop50_gen50_elitTrue_drop,0.9541239980719425,0.9362453241720696,0.9999983119272745,0.7857513243080493
82_pc0.6_pm0.05_torneio_pop50_gen50_elitFalse_cross,2.0623097955699277,2.062606455824243,2.0626118088065377,2.060198720750462
83_pc0.6_pm0.05_torneio_pop50_gen50_elitFalse_drop,0.9359744385056404,0.9362269076287791,0.9362452746364051,0.9320995824088331
84_pc0.6_pm0.05_torneio_pop50_gen100_elitTrue_cross,2.062338051218683,2.062611862753255,2.0626118702521774,2.061438474536888
85_pc0.6_pm0.05_torneio_pop50_gen100_elitTrue_drop,0.959335488985704,0.9362453275245735,0.9999983119272745,0.9362452746364052
86_pc0.6_pm0.05_torneio_pop50_gen100_elitFalse_cross,2.062484448907468,2.0626039581889635,2.0626117620196984,2.0603747653926217
87_pc0.6_pm0.05_torneio_pop50_gen100_elitFalse_drop,0.9428804433908284,0.9362137528713363,0.9976166609040785,0.9307245345936095
88_pc0.6_pm0.05_torneio_pop100_gen50_elitTrue_cross,2.0626118041817936,2.062611862753255,2.0626118702521774,2.0626111027123613
89_pc0.6_pm0.05_torneio_pop100_gen50_elitTrue_drop,0.959325172118231,0.9362453269120521,0.9999983119272745,0.9362450638671841
90_pc0.6_pm0.05_torneio_pop100_gen50_elitFalse_cross,2.062567293495779,2.0626087482413964,2.0626118334716548,2.061403188853103
91_pc0.6_pm0.05_torneio_pop100_gen50_elitFalse_drop,0.940224520512301,0.936235283336007,0.9997417471156385,0.9358197392092182
92_pc0.6_pm0.05_torneio_pop100_gen100_elitTrue_cross,2.0626118511472846,2.0626118702521774,2.0626118702521774,2.062611457623527
93_pc0.6_pm0.05_torneio_pop100_gen100_elitTrue_drop,0.9651513452089031,0.9362453277293336,0.9999983119272745,0.9362452741544796
94_pc0.6_pm0.05_torneio_pop100_gen100_elitFalse_cross,2.062531389419577,2.0626095852333837,2.0626117620196984,2.060297939081008
95_pc0.6_pm0.05_torneio_pop100_gen100_elitFalse_drop,0.937829448560969,0.9362375994461114,0.9855782412966588,0.93581575360475
96_pc0.6_pm0.1_roleta_pop20_gen50_elitTrue_cross,2.062254728276147,2.062517843520297,2.062610590261734,2.0611477588717957
97_pc0.6_pm0.1_roleta_pop20_gen50_elitTrue_drop,0.9431684779214684,0.9362445894549714,0.9999577987557337,0.9198464254805214
98_pc0.6_pm0.1_roleta_pop20_gen50_elitFalse_cross,1.9987001941551206,2.0351665615070855,2.061531776638169,1.8176492335732355
